method,end_point,response_time,hour_of_day,day_of_week,month,is_weekend,error_count,unique_error_type,avg_response_time,max_response_time,response_time_category,is_potential_anomalous
PATCH,/metrics,185,4,6,4,1,313,5,242.773283,4979,normal,0
POST,/login,190,5,6,4,1,281,5,231.1578757,4991,normal,0
DELETE,/login,263,5,6,4,1,319,5,243.46375,4857,normal,1
GET,/users,80,5,6,4,1,287,5,234.4954096,4998,fast,0
PATCH,/users,186,5,6,4,1,305,5,238.7543703,4942,normal,0
GET,/login,40,5,6,4,1,322,5,243.0159184,4961,fast,0
PATCH,/metrics,140,5,6,4,1,319,5,243.46375,4857,normal,0
PUT,/admin,96,6,6,4,1,281,5,231.1578757,4991,fast,0
GET,/users,69,6,6,4,1,313,5,242.773283,4979,fast,0
GET,/metrics,14,6,6,4,1,303,5,251.9843433,4980,fast,0
GET,/data,293,6,6,4,1,308,5,234.9827711,4994,normal,1
GET,/data,211,6,6,4,1,315,5,238.6485995,4986,normal,1
PATCH,/users,122,6,6,4,1,313,5,242.773283,4979,normal,0
DELETE,/login,34,6,6,4,1,315,5,238.6485995,4986,fast,0
GET,/users,288,7,6,4,1,322,5,243.0159184,4961,normal,1
POST,/login,221,7,6,4,1,319,5,243.46375,4857,normal,1
PATCH,/login,126,7,6,4,1,319,5,243.46375,4857,normal,0
PUT,/admin,74,7,6,4,1,303,5,251.9843433,4980,fast,0
DELETE,/metrics,160,7,6,4,1,303,5,251.9843433,4980,normal,0
PUT,/login,242,7,6,4,1,287,5,234.4954096,4998,normal,1
DELETE,/metrics,24,7,6,4,1,303,5,251.9843433,4980,fast,0
PUT,/admin,40,7,6,4,1,287,5,234.4954096,4998,fast,0
GET,/data,143,7,6,4,1,308,5,234.9827711,4994,normal,0
PATCH,/login,44,7,6,4,1,305,5,238.7543703,4942,fast,0
PUT,/metrics,122,7,6,4,1,322,5,243.0159184,4961,normal,0
PUT,/admin,56,8,6,4,1,315,5,238.6485995,4986,fast,0
GET,/login,236,8,6,4,1,281,5,231.1578757,4991,normal,1
PATCH,/data,115,8,6,4,1,319,5,243.46375,4857,normal,0
GET,/data,83,8,6,4,1,315,5,238.6485995,4986,fast,0
GET,/login,223,8,6,4,1,281,5,231.1578757,4991,normal,1
POST,/data,273,8,6,4,1,319,5,243.46375,4857,normal,1
PUT,/data,197,9,6,4,1,313,5,242.773283,4979,normal,0
POST,/login,82,9,6,4,1,281,5,231.1578757,4991,fast,0
DELETE,/metrics,153,9,6,4,1,322,5,243.0159184,4961,normal,0
PUT,/login,184,9,6,4,1,303,5,251.9843433,4980,normal,0
PUT,/login,249,9,6,4,1,308,5,234.9827711,4994,normal,1
GET,/metrics,105,9,6,4,1,315,5,238.6485995,4986,normal,0
DELETE,/users,214,9,6,4,1,315,5,238.6485995,4986,normal,1
PUT,/data,257,9,6,4,1,315,5,238.6485995,4986,normal,1
PUT,/data,290,10,6,4,1,281,5,231.1578757,4991,normal,1
PATCH,/admin,90,10,6,4,1,308,5,234.9827711,4994,fast,0
DELETE,/metrics,49,10,6,4,1,287,5,234.4954096,4998,fast,0
GET,/metrics,13,10,6,4,1,315,5,238.6485995,4986,fast,0
GET,/data,299,10,6,4,1,319,5,243.46375,4857,normal,1
GET,/metrics,32,10,6,4,1,322,5,243.0159184,4961,fast,0
PUT,/login,82,10,6,4,1,281,5,231.1578757,4991,fast,0
POST,/metrics,59,10,6,4,1,281,5,231.1578757,4991,fast,0
PUT,/metrics,169,10,6,4,1,305,5,238.7543703,4942,normal,0
GET,/users,279,11,6,4,1,313,5,242.773283,4979,normal,1
DELETE,/admin,76,11,6,4,1,315,5,238.6485995,4986,fast,0
PATCH,/admin,72,11,6,4,1,319,5,243.46375,4857,fast,0
DELETE,/admin,31,11,6,4,1,315,5,238.6485995,4986,fast,0
POST,/users,216,11,6,4,1,322,5,243.0159184,4961,normal,1
PUT,/metrics,203,11,6,4,1,308,5,234.9827711,4994,normal,1
PUT,/data,286,12,6,4,1,287,5,234.4954096,4998,normal,1
PATCH,/data,72,12,6,4,1,319,5,243.46375,4857,fast,0
DELETE,/admin,265,12,6,4,1,315,5,238.6485995,4986,normal,1
POST,/metrics,264,12,6,4,1,308,5,234.9827711,4994,normal,1
PUT,/metrics,265,12,6,4,1,315,5,238.6485995,4986,normal,1
POST,/metrics,172,12,6,4,1,281,5,231.1578757,4991,normal,0
GET,/users,114,13,6,4,1,315,5,238.6485995,4986,normal,0
DELETE,/login,170,13,6,4,1,303,5,251.9843433,4980,normal,0
PATCH,/login,46,13,6,4,1,287,5,234.4954096,4998,fast,0
PUT,/login,289,13,6,4,1,287,5,234.4954096,4998,normal,1
PUT,/login,279,13,6,4,1,281,5,231.1578757,4991,normal,1
PATCH,/data,141,13,6,4,1,287,5,234.4954096,4998,normal,0
PATCH,/data,85,13,6,4,1,287,5,234.4954096,4998,fast,0
PATCH,/users,248,13,6,4,1,319,5,243.46375,4857,normal,1
DELETE,/login,52,13,6,4,1,315,5,238.6485995,4986,fast,0
POST,/admin,18,14,6,4,1,287,5,234.4954096,4998,fast,0
DELETE,/data,293,14,6,4,1,287,5,234.4954096,4998,normal,1
POST,/metrics,36,14,6,4,1,303,5,251.9843433,4980,fast,0
PUT,/users,218,14,6,4,1,315,5,238.6485995,4986,normal,1
PATCH,/users,24,14,6,4,1,303,5,251.9843433,4980,fast,0
PUT,/login,146,15,6,4,1,313,5,242.773283,4979,normal,0
PUT,/login,187,15,6,4,1,322,5,243.0159184,4961,normal,0
DELETE,/admin,288,15,6,4,1,287,5,234.4954096,4998,normal,1
GET,/data,113,15,6,4,1,322,5,243.0159184,4961,normal,0
GET,/users,260,15,6,4,1,308,5,234.9827711,4994,normal,1
DELETE,/login,41,15,6,4,1,303,5,251.9843433,4980,fast,0
GET,/admin,105,15,6,4,1,281,5,231.1578757,4991,normal,0
GET,/users,297,15,6,4,1,315,5,238.6485995,4986,normal,1
PUT,/data,134,15,6,4,1,303,5,251.9843433,4980,normal,0
POST,/data,257,15,6,4,1,281,5,231.1578757,4991,normal,1
DELETE,/admin,187,16,6,4,1,319,5,243.46375,4857,normal,0
PUT,/metrics,153,16,6,4,1,315,5,238.6485995,4986,normal,0
DELETE,/login,132,16,6,4,1,281,5,231.1578757,4991,normal,0
PATCH,/users,191,16,6,4,1,313,5,242.773283,4979,normal,0
PATCH,/admin,93,16,6,4,1,281,5,231.1578757,4991,fast,0
PUT,/metrics,228,16,6,4,1,319,5,243.46375,4857,normal,1
PATCH,/admin,80,16,6,4,1,315,5,238.6485995,4986,fast,0
DELETE,/admin,63,17,6,4,1,322,5,243.0159184,4961,fast,0
PATCH,/users,273,17,6,4,1,315,5,238.6485995,4986,normal,1
DELETE,/admin,198,17,6,4,1,303,5,251.9843433,4980,normal,0
PUT,/users,271,17,6,4,1,303,5,251.9843433,4980,normal,1
DELETE,/users,165,17,6,4,1,303,5,251.9843433,4980,normal,0
PUT,/data,109,17,6,4,1,308,5,234.9827711,4994,normal,0
PATCH,/metrics,295,17,6,4,1,319,5,243.46375,4857,normal,1
PUT,/users,263,18,6,4,1,319,5,243.46375,4857,normal,1
DELETE,/admin,262,18,6,4,1,322,5,243.0159184,4961,normal,1
DELETE,/data,181,18,6,4,1,303,5,251.9843433,4980,normal,0
PATCH,/users,70,19,6,4,1,319,5,243.46375,4857,fast,0
GET,/admin,201,19,6,4,1,315,5,238.6485995,4986,normal,1
DELETE,/admin,215,19,6,4,1,303,5,251.9843433,4980,normal,1
PATCH,/metrics,28,19,6,4,1,308,5,234.9827711,4994,fast,0
POST,/data,23,19,6,4,1,308,5,234.9827711,4994,fast,0
PATCH,/login,251,19,6,4,1,308,5,234.9827711,4994,normal,1
PUT,/data,124,19,6,4,1,303,5,251.9843433,4980,normal,0
DELETE,/metrics,87,20,6,4,1,308,5,234.9827711,4994,fast,0
DELETE,/data,260,20,6,4,1,319,5,243.46375,4857,normal,1
GET,/login,120,20,6,4,1,303,5,251.9843433,4980,normal,0
DELETE,/admin,225,20,6,4,1,322,5,243.0159184,4961,normal,1
PATCH,/data,206,20,6,4,1,313,5,242.773283,4979,normal,1
PATCH,/data,200,20,6,4,1,315,5,238.6485995,4986,normal,0
PATCH,/data,32,20,6,4,1,313,5,242.773283,4979,fast,0
DELETE,/login,56,20,6,4,1,315,5,238.6485995,4986,fast,0
DELETE,/admin,192,21,6,4,1,319,5,243.46375,4857,normal,0
POST,/admin,165,21,6,4,1,322,5,243.0159184,4961,normal,0
POST,/admin,102,21,6,4,1,281,5,231.1578757,4991,normal,0
DELETE,/data,41,21,6,4,1,322,5,243.0159184,4961,fast,0
PATCH,/data,61,22,6,4,1,303,5,251.9843433,4980,fast,0
POST,/metrics,270,22,6,4,1,303,5,251.9843433,4980,normal,1
DELETE,/login,102,22,6,4,1,313,5,242.773283,4979,normal,0
GET,/users,105,22,6,4,1,287,5,234.4954096,4998,normal,0
PATCH,/admin,132,23,6,4,1,322,5,243.0159184,4961,normal,0
DELETE,/admin,144,23,6,4,1,303,5,251.9843433,4980,normal,0
DELETE,/login,106,23,6,4,1,281,5,231.1578757,4991,normal,0
GET,/data,187,23,6,4,1,287,5,234.4954096,4998,normal,0
GET,/data,151,23,6,4,1,281,5,231.1578757,4991,normal,0
GET,/users,28,23,6,4,1,281,5,231.1578757,4991,fast,0
GET,/data,44,0,0,4,0,319,5,243.46375,4857,fast,0
DELETE,/metrics,50,0,0,4,0,305,5,238.7543703,4942,fast,0
PATCH,/login,238,0,0,4,0,281,5,231.1578757,4991,normal,1
GET,/data,173,0,0,4,0,315,5,238.6485995,4986,normal,0
GET,/metrics,298,0,0,4,0,305,5,238.7543703,4942,normal,1
PUT,/metrics,80,0,0,4,0,303,5,251.9843433,4980,fast,0
POST,/data,207,1,0,4,0,315,5,238.6485995,4986,normal,1
POST,/admin,138,1,0,4,0,313,5,242.773283,4979,normal,0
PUT,/users,77,1,0,4,0,287,5,234.4954096,4998,fast,0
GET,/metrics,102,1,0,4,0,322,5,243.0159184,4961,normal,0
DELETE,/users,178,1,0,4,0,305,5,238.7543703,4942,normal,0
PATCH,/users,72,1,0,4,0,305,5,238.7543703,4942,fast,0
PUT,/users,27,1,0,4,0,305,5,238.7543703,4942,fast,0
POST,/data,76,1,0,4,0,303,5,251.9843433,4980,fast,0
DELETE,/metrics,231,1,0,4,0,305,5,238.7543703,4942,normal,1
DELETE,/admin,136,1,0,4,0,287,5,234.4954096,4998,normal,0
DELETE,/metrics,203,1,0,4,0,305,5,238.7543703,4942,normal,1
PUT,/login,163,2,0,4,0,305,5,238.7543703,4942,normal,0
PUT,/admin,194,2,0,4,0,315,5,238.6485995,4986,normal,0
PATCH,/login,107,3,0,4,0,313,5,242.773283,4979,normal,0
POST,/users,37,3,0,4,0,287,5,234.4954096,4998,fast,0
PUT,/data,70,3,0,4,0,308,5,234.9827711,4994,fast,0
GET,/users,126,3,0,4,0,313,5,242.773283,4979,normal,0
POST,/data,61,3,0,4,0,305,5,238.7543703,4942,fast,0
PATCH,/admin,130,4,0,4,0,281,5,231.1578757,4991,normal,0
POST,/metrics,109,4,0,4,0,319,5,243.46375,4857,normal,0
POST,/data,41,4,0,4,0,287,5,234.4954096,4998,fast,0
PATCH,/login,240,4,0,4,0,319,5,243.46375,4857,normal,1
PUT,/data,248,5,0,4,0,322,5,243.0159184,4961,normal,1
DELETE,/admin,110,5,0,4,0,303,5,251.9843433,4980,normal,0
GET,/login,252,5,0,4,0,319,5,243.46375,4857,normal,1
PUT,/admin,130,5,0,4,0,287,5,234.4954096,4998,normal,0
GET,/data,187,5,0,4,0,281,5,231.1578757,4991,normal,0
PUT,/admin,43,5,0,4,0,313,5,242.773283,4979,fast,0
GET,/login,18,5,0,4,0,303,5,251.9843433,4980,fast,0
POST,/users,22,5,0,4,0,313,5,242.773283,4979,fast,0
GET,/metrics,14,5,0,4,0,281,5,231.1578757,4991,fast,0
GET,/admin,120,6,0,4,0,319,5,243.46375,4857,normal,0
PUT,/metrics,11,6,0,4,0,322,5,243.0159184,4961,fast,0
DELETE,/data,34,6,0,4,0,287,5,234.4954096,4998,fast,0
DELETE,/metrics,80,6,0,4,0,287,5,234.4954096,4998,fast,0
PATCH,/data,223,6,0,4,0,303,5,251.9843433,4980,normal,1
GET,/metrics,232,7,0,4,0,305,5,238.7543703,4942,normal,1
GET,/admin,109,7,0,4,0,305,5,238.7543703,4942,normal,0
GET,/users,218,7,0,4,0,305,5,238.7543703,4942,normal,1
DELETE,/metrics,102,7,0,4,0,303,5,251.9843433,4980,normal,0
PATCH,/login,106,7,0,4,0,287,5,234.4954096,4998,normal,0
PUT,/metrics,171,7,0,4,0,281,5,231.1578757,4991,normal,0
PUT,/login,50,7,0,4,0,315,5,238.6485995,4986,fast,0
GET,/metrics,269,8,0,4,0,315,5,238.6485995,4986,normal,1
PUT,/metrics,260,8,0,4,0,305,5,238.7543703,4942,normal,1
PATCH,/admin,62,8,0,4,0,287,5,234.4954096,4998,fast,0
PATCH,/login,80,8,0,4,0,308,5,234.9827711,4994,fast,0
POST,/login,212,8,0,4,0,303,5,251.9843433,4980,normal,1
GET,/metrics,230,8,0,4,0,313,5,242.773283,4979,normal,1
GET,/data,35,8,0,4,0,313,5,242.773283,4979,fast,0
DELETE,/login,297,8,0,4,0,319,5,243.46375,4857,normal,1
PUT,/users,249,9,0,4,0,313,5,242.773283,4979,normal,1
DELETE,/admin,23,9,0,4,0,322,5,243.0159184,4961,fast,0
PUT,/metrics,140,9,0,4,0,315,5,238.6485995,4986,normal,0
PUT,/users,170,9,0,4,0,315,5,238.6485995,4986,normal,0
PUT,/data,33,9,0,4,0,287,5,234.4954096,4998,fast,0
PUT,/metrics,66,9,0,4,0,305,5,238.7543703,4942,fast,0
PUT,/login,48,9,0,4,0,322,5,243.0159184,4961,fast,0
GET,/users,266,9,0,4,0,308,5,234.9827711,4994,normal,1
DELETE,/users,268,9,0,4,0,322,5,243.0159184,4961,normal,1
DELETE,/data,128,9,0,4,0,303,5,251.9843433,4980,normal,0
PUT,/data,240,9,0,4,0,305,5,238.7543703,4942,normal,1
PATCH,/login,184,10,0,4,0,319,5,243.46375,4857,normal,0
DELETE,/login,93,10,0,4,0,281,5,231.1578757,4991,fast,0
PUT,/admin,146,10,0,4,0,303,5,251.9843433,4980,normal,0
GET,/data,213,10,0,4,0,313,5,242.773283,4979,normal,1
POST,/metrics,162,10,0,4,0,308,5,234.9827711,4994,normal,0
PUT,/admin,56,10,0,4,0,319,5,243.46375,4857,fast,0
PATCH,/metrics,267,10,0,4,0,287,5,234.4954096,4998,normal,1
GET,/login,183,10,0,4,0,308,5,234.9827711,4994,normal,0
POST,/users,277,11,0,4,0,319,5,243.46375,4857,normal,1
DELETE,/users,155,11,0,4,0,305,5,238.7543703,4942,normal,0
POST,/data,198,11,0,4,0,308,5,234.9827711,4994,normal,0
DELETE,/metrics,101,11,0,4,0,308,5,234.9827711,4994,normal,0
PUT,/data,240,11,0,4,0,287,5,234.4954096,4998,normal,1
POST,/metrics,42,11,0,4,0,313,5,242.773283,4979,fast,0
PUT,/users,164,11,0,4,0,308,5,234.9827711,4994,normal,0
DELETE,/data,290,12,0,4,0,287,5,234.4954096,4998,normal,1
DELETE,/login,255,12,0,4,0,308,5,234.9827711,4994,normal,1
DELETE,/metrics,82,12,0,4,0,313,5,242.773283,4979,fast,0
PATCH,/metrics,293,12,0,4,0,308,5,234.9827711,4994,normal,1
PUT,/login,235,12,0,4,0,319,5,243.46375,4857,normal,1
PUT,/metrics,79,12,0,4,0,281,5,231.1578757,4991,fast,0
GET,/admin,26,12,0,4,0,303,5,251.9843433,4980,fast,0
GET,/metrics,279,12,0,4,0,287,5,234.4954096,4998,normal,1
POST,/admin,47,13,0,4,0,287,5,234.4954096,4998,fast,0
GET,/users,219,13,0,4,0,281,5,231.1578757,4991,normal,1
POST,/metrics,281,13,0,4,0,313,5,242.773283,4979,normal,1
GET,/admin,265,13,0,4,0,281,5,231.1578757,4991,normal,1
PUT,/admin,161,13,0,4,0,315,5,238.6485995,4986,normal,0
DELETE,/data,122,14,0,4,0,313,5,242.773283,4979,normal,0
POST,/login,252,14,0,4,0,308,5,234.9827711,4994,normal,1
POST,/users,197,14,0,4,0,319,5,243.46375,4857,normal,0
PUT,/admin,101,14,0,4,0,313,5,242.773283,4979,normal,0
DELETE,/login,61,15,0,4,0,303,5,251.9843433,4980,fast,0
PUT,/login,53,15,0,4,0,313,5,242.773283,4979,fast,0
GET,/users,244,15,0,4,0,303,5,251.9843433,4980,normal,1
POST,/users,100,15,0,4,0,281,5,231.1578757,4991,fast,0
POST,/login,247,15,0,4,0,315,5,238.6485995,4986,normal,1
DELETE,/login,215,15,0,4,0,305,5,238.7543703,4942,normal,1
DELETE,/data,29,15,0,4,0,287,5,234.4954096,4998,fast,0
GET,/metrics,85,15,0,4,0,303,5,251.9843433,4980,fast,0
GET,/data,275,15,0,4,0,287,5,234.4954096,4998,normal,1
PATCH,/login,296,15,0,4,0,313,5,242.773283,4979,normal,1
PUT,/data,44,16,0,4,0,303,5,251.9843433,4980,fast,0
DELETE,/metrics,171,16,0,4,0,319,5,243.46375,4857,normal,0
POST,/admin,86,16,0,4,0,281,5,231.1578757,4991,fast,0
POST,/metrics,189,16,0,4,0,319,5,243.46375,4857,normal,0
PUT,/login,214,16,0,4,0,303,5,251.9843433,4980,normal,1
PUT,/users,79,16,0,4,0,308,5,234.9827711,4994,fast,0
PATCH,/data,39,16,0,4,0,281,5,231.1578757,4991,fast,0
PUT,/admin,151,16,0,4,0,281,5,231.1578757,4991,normal,0
PUT,/metrics,99,17,0,4,0,287,5,234.4954096,4998,fast,0
PATCH,/login,149,17,0,4,0,319,5,243.46375,4857,normal,0
DELETE,/login,195,17,0,4,0,313,5,242.773283,4979,normal,0
PATCH,/metrics,122,17,0,4,0,305,5,238.7543703,4942,normal,0
PATCH,/login,27,17,0,4,0,305,5,238.7543703,4942,fast,0
GET,/metrics,200,18,0,4,0,319,5,243.46375,4857,normal,0
PUT,/login,280,18,0,4,0,313,5,242.773283,4979,normal,1
DELETE,/metrics,244,18,0,4,0,287,5,234.4954096,4998,normal,1
DELETE,/data,139,18,0,4,0,305,5,238.7543703,4942,normal,0
PUT,/admin,50,18,0,4,0,287,5,234.4954096,4998,fast,0
GET,/metrics,134,18,0,4,0,303,5,251.9843433,4980,normal,0
PUT,/login,148,18,0,4,0,281,5,231.1578757,4991,normal,0
GET,/users,29,18,0,4,0,315,5,238.6485995,4986,fast,0
GET,/users,52,18,0,4,0,281,5,231.1578757,4991,fast,0
POST,/metrics,34,19,0,4,0,281,5,231.1578757,4991,fast,0
PUT,/login,159,19,0,4,0,303,5,251.9843433,4980,normal,0
GET,/data,284,19,0,4,0,305,5,238.7543703,4942,normal,1
PATCH,/admin,72,19,0,4,0,287,5,234.4954096,4998,fast,0
PUT,/admin,30,19,0,4,0,281,5,231.1578757,4991,fast,0
PATCH,/login,121,19,0,4,0,322,5,243.0159184,4961,normal,0
GET,/admin,245,19,0,4,0,305,5,238.7543703,4942,normal,1
GET,/admin,133,19,0,4,0,303,5,251.9843433,4980,normal,0
GET,/login,126,20,0,4,0,322,5,243.0159184,4961,normal,0
PUT,/users,298,20,0,4,0,319,5,243.46375,4857,normal,1
PUT,/data,276,20,0,4,0,315,5,238.6485995,4986,normal,1
POST,/users,47,20,0,4,0,281,5,231.1578757,4991,fast,0
DELETE,/users,53,20,0,4,0,319,5,243.46375,4857,fast,0
PUT,/login,239,20,0,4,0,315,5,238.6485995,4986,normal,1
DELETE,/users,268,20,0,4,0,315,5,238.6485995,4986,normal,1
DELETE,/metrics,284,20,0,4,0,313,5,242.773283,4979,normal,1
GET,/metrics,34,20,0,4,0,281,5,231.1578757,4991,fast,0
GET,/data,10,20,0,4,0,319,5,243.46375,4857,fast,0
POST,/metrics,292,21,0,4,0,303,5,251.9843433,4980,normal,1
DELETE,/metrics,83,21,0,4,0,303,5,251.9843433,4980,fast,0
POST,/data,163,21,0,4,0,303,5,251.9843433,4980,normal,0
GET,/data,221,21,0,4,0,308,5,234.9827711,4994,normal,1
GET,/data,86,21,0,4,0,287,5,234.4954096,4998,fast,0
DELETE,/users,179,21,0,4,0,305,5,238.7543703,4942,normal,0
PUT,/users,140,21,0,4,0,303,5,251.9843433,4980,normal,0
DELETE,/users,132,21,0,4,0,308,5,234.9827711,4994,normal,0
PATCH,/admin,50,21,0,4,0,315,5,238.6485995,4986,fast,0
PUT,/users,243,21,0,4,0,319,5,243.46375,4857,normal,1
PUT,/metrics,140,22,0,4,0,287,5,234.4954096,4998,normal,0
PUT,/users,243,22,0,4,0,308,5,234.9827711,4994,normal,1
PUT,/metrics,232,23,0,4,0,305,5,238.7543703,4942,normal,1
PATCH,/metrics,21,23,0,4,0,322,5,243.0159184,4961,fast,0
POST,/metrics,147,23,0,4,0,287,5,234.4954096,4998,normal,0
PATCH,/admin,136,23,0,4,0,287,5,234.4954096,4998,normal,0
GET,/admin,99,23,0,4,0,315,5,238.6485995,4986,fast,0
PUT,/users,256,23,0,4,0,308,5,234.9827711,4994,normal,1
GET,/data,69,23,0,4,0,313,5,242.773283,4979,fast,0
PATCH,/users,216,23,0,4,0,281,5,231.1578757,4991,normal,1
PATCH,/login,208,23,0,4,0,305,5,238.7543703,4942,normal,1
PATCH,/metrics,47,0,1,4,0,315,5,238.6485995,4986,fast,0
POST,/admin,140,0,1,4,0,287,5,234.4954096,4998,normal,0
PATCH,/metrics,121,0,1,4,0,281,5,231.1578757,4991,normal,0
PATCH,/data,238,0,1,4,0,319,5,243.46375,4857,normal,1
PUT,/data,68,0,1,4,0,305,5,238.7543703,4942,fast,0
POST,/users,111,0,1,4,0,281,5,231.1578757,4991,normal,0
PATCH,/login,162,0,1,4,0,303,5,251.9843433,4980,normal,0
DELETE,/metrics,11,0,1,4,0,315,5,238.6485995,4986,fast,0
GET,/metrics,167,0,1,4,0,308,5,234.9827711,4994,normal,0
DELETE,/metrics,211,0,1,4,0,315,5,238.6485995,4986,normal,1
GET,/users,121,1,1,4,0,303,5,251.9843433,4980,normal,0
POST,/metrics,227,1,1,4,0,305,5,238.7543703,4942,normal,1
PUT,/users,95,1,1,4,0,313,5,242.773283,4979,fast,0
GET,/users,65,1,1,4,0,322,5,243.0159184,4961,fast,0
PATCH,/data,92,1,1,4,0,281,5,231.1578757,4991,fast,0
GET,/login,93,1,1,4,0,305,5,238.7543703,4942,fast,0
DELETE,/data,164,1,1,4,0,315,5,238.6485995,4986,normal,0
GET,/admin,95,1,1,4,0,313,5,242.773283,4979,fast,0
POST,/users,257,1,1,4,0,313,5,242.773283,4979,normal,1
PUT,/admin,145,1,1,4,0,287,5,234.4954096,4998,normal,0
DELETE,/admin,290,2,1,4,0,322,5,243.0159184,4961,normal,1
POST,/login,245,2,1,4,0,281,5,231.1578757,4991,normal,1
GET,/admin,179,2,1,4,0,315,5,238.6485995,4986,normal,0
PUT,/admin,291,2,1,4,0,305,5,238.7543703,4942,normal,1
POST,/data,134,2,1,4,0,313,5,242.773283,4979,normal,0
PATCH,/users,235,2,1,4,0,303,5,251.9843433,4980,normal,1
POST,/data,193,2,1,4,0,319,5,243.46375,4857,normal,0
POST,/metrics,184,2,1,4,0,322,5,243.0159184,4961,normal,0
PUT,/admin,173,2,1,4,0,315,5,238.6485995,4986,normal,0
DELETE,/data,63,2,1,4,0,305,5,238.7543703,4942,fast,0
PUT,/login,44,2,1,4,0,287,5,234.4954096,4998,fast,0
PATCH,/login,121,2,1,4,0,303,5,251.9843433,4980,normal,0
PATCH,/users,125,3,1,4,0,281,5,231.1578757,4991,normal,0
GET,/users,207,3,1,4,0,322,5,243.0159184,4961,normal,1
GET,/metrics,267,3,1,4,0,308,5,234.9827711,4994,normal,1
DELETE,/users,131,3,1,4,0,322,5,243.0159184,4961,normal,0
POST,/users,121,3,1,4,0,308,5,234.9827711,4994,normal,0
GET,/login,226,3,1,4,0,305,5,238.7543703,4942,normal,1
POST,/login,16,3,1,4,0,303,5,251.9843433,4980,fast,0
PATCH,/data,27,3,1,4,0,303,5,251.9843433,4980,fast,0
DELETE,/login,84,3,1,4,0,319,5,243.46375,4857,fast,0
PATCH,/login,283,3,1,4,0,287,5,234.4954096,4998,normal,1
PATCH,/login,70,3,1,4,0,319,5,243.46375,4857,fast,0
PUT,/login,293,4,1,4,0,305,5,238.7543703,4942,normal,1
PUT,/metrics,91,4,1,4,0,303,5,251.9843433,4980,fast,0
PATCH,/users,32,5,1,4,0,281,5,231.1578757,4991,fast,0
DELETE,/admin,271,5,1,4,0,287,5,234.4954096,4998,normal,1
DELETE,/data,13,5,1,4,0,281,5,231.1578757,4991,fast,0
PUT,/admin,294,5,1,4,0,287,5,234.4954096,4998,normal,1
GET,/data,288,5,1,4,0,308,5,234.9827711,4994,normal,1
DELETE,/metrics,152,5,1,4,0,313,5,242.773283,4979,normal,0
